"","state.county","date","cases","deaths","per100k","days_since_case100","days_since_death10"
"2824","Virginia-Fredericksburg city",2020-07-10,264,0,909.216145474583,53,0
"2825","Virginia-Galax city",2020-07-10,283,16,4458.7994328029,46,27
"2826","Virginia-Giles",2020-07-10,18,0,107.655502392345,0,0
"2827","Virginia-Gloucester",2020-07-10,65,1,174.038770483025,0,0
"2828","Virginia-Goochland",2020-07-10,129,6,543.089293983918,39,0
"2829","Virginia-Grayson",2020-07-10,91,4,585.209003215434,0,0
"2830","Virginia-Greene",2020-07-10,80,2,403.653060194763,0,0
"2831","Virginia-Greensville",2020-07-10,374,9,3299.22371206775,39,0
"2832","Virginia-Halifax",2020-07-10,76,1,224.116068532335,0,0
"2833","Virginia-Hampton city",2020-07-10,454,4,337.521373875548,77,0
"2834","Virginia-Hanover",2020-07-10,467,31,433.346324443702,78,71
"2835","Virginia-Harrisonburg city",2020-07-10,976,28,1840.95367436246,87,73
"2836","Virginia-Henrico",2020-07-10,2784,172,841.550338857015,99,99
"2837","Virginia-Henry",2020-07-10,339,5,670.530292541092,42,0
"2838","Virginia-Highland",2020-07-10,3,0,136.986301369863,0,0
"2839","Virginia-Hopewell city",2020-07-10,193,5,856.673620666696,37,0
"2840","Virginia-Isle of Wight",2020-07-10,215,9,579.374275782155,67,0
"2841","Virginia-James City",2020-07-10,332,16,433.856487591966,99,81
"2842","Virginia-King George",2020-07-10,104,4,387.53912654643,6,0
"2843","Virginia-King William",2020-07-10,54,2,314.905528341498,0,0
"2844","Virginia-King and Queen",2020-07-10,26,1,370.106761565836,0,0
"2845","Virginia-Lancaster",2020-07-10,12,0,113.175516363293,0,0
"2846","Virginia-Lee",2020-07-10,17,0,72.5782350680955,0,0
"2847","Virginia-Lexington city",2020-07-10,13,0,174.590384098845,0,0
"2848","Virginia-Loudoun",2020-07-10,4349,99,1051.65667967635,101,79
"2849","Virginia-Louisa",2020-07-10,134,2,356.468303583305,24,0
"2850","Virginia-Lunenburg",2020-07-10,40,0,327.97638570023,0,0
"2851","Virginia-Lynchburg city",2020-07-10,177,1,215.412325966313,22,0
"2852","Virginia-Madison",2020-07-10,46,1,346.881833949174,0,0
"2853","Virginia-Manassas Park city",2020-07-10,455,6,2603.27268566198,65,0
"2854","Virginia-Manassas city",2020-07-10,1472,18,3582.81611293659,81,45
