"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","days_since_case100","days_since_death10"
"1800","Cameroon",2020-05-04,104,2104,27,64,0,953,0,1087,7.9,0.1,4.1,37,27
"1873","Canada",2020-05-04,104,61957,1453,4003,208,26030,1109,31924,164.2,3.8,84.6,55,46
"1944","Cape Verde",2020-05-04,104,175,10,2,0,37,4,136,31.5,1.8,24.5,9,0
"2004","Central African Republic",2020-05-04,104,85,13,0,0,10,0,75,1.8,0.3,1.6,0,0
"2069","Chad",2020-05-04,104,117,0,10,0,39,0,68,0.7,0,0.4,3,3
"2139","Chile",2020-05-04,104,20643,980,270,10,10415,374,9958,108,5.1,52.1,50,35
"2152","Colombia",2020-05-04,104,7973,305,358,18,1807,85,5808,15.7,0.6,11.4,47,37
"2210","Comoros",2020-05-04,104,3,0,0,0,0,0,3,0.3,0,0.3,0,0
"2247","Costa Rica",2020-05-04,104,742,3,6,0,399,13,337,14.6,0.1,6.6,45,0
"2285","Cote d'Ivoire",2020-05-04,104,1432,34,17,0,693,40,722,5.4,0.1,2.7,39,14
"2375","Croatia",2020-05-04,104,2101,5,80,1,1522,33,499,51.2,0.1,12.2,47,31
"2431","Cuba",2020-05-04,104,1668,19,69,2,876,49,723,14.7,0.2,6.4,38,28
"2465","Cyprus",2020-05-04,104,874,2,15,0,296,0,563,72.4,0.2,46.6,43,29
"2550","Czech Republic",2020-05-04,104,7819,38,252,4,3807,220,3760,73,0.4,35.1,53,38
"2574","Democratic Republic of the Congo",2020-05-04,104,682,8,34,1,80,5,568,0.8,0,0.6,34,33
"2632","Denmark",2020-05-04,104,9868,147,493,9,7284,101,2091,170.4,2.5,36.1,56,45
"2732","Diamond Princess Cruise Ship",2020-05-04,104,712,0,13,0,645,0,54,NA,NA,NA,85,42
"2809","Djibouti",2020-05-04,104,1116,4,2,0,713,27,401,113,0.4,40.6,27,0
"2837","Dominica",2020-05-04,104,16,0,0,0,13,0,3,22.2,0,4.2,0,0
"2934","Dominican Republic",2020-05-04,104,8235,281,346,13,1771,165,6118,75.9,2.6,56.4,45,41
"2947","Ecuador",2020-05-04,104,31881,2343,1569,5,3433,133,26879,180.7,13.3,152.3,48,44
"3040","Egypt",2020-05-04,104,6813,348,436,7,1632,70,4745,6.7,0.3,4.6,52,45
"3132","El Salvador",2020-05-04,104,555,65,13,2,180,26,362,8.6,1,5.6,26,5
"3155","Equatorial Guinea",2020-05-04,104,315,0,3,2,13,4,299,22.5,0,21.3,11,0
